TITLE ID,TITLE KEY,NAME,REGION,TYPE
000500001020ed00,5e5d94c66c7cf1deed9d35911fed24ae,WALL BALL,USA,Base
0005000010197000,0b83421a07ab470fe4e645b4dd2c2e1f,逆転裁判,JPN,Base
00050000101aea00,da9eaad758194ee1e3a02f17219edf26,逆転裁判 2,JPN,Base
00050000101c3b00,20c98b79eda60809de3a4cbc1cbc875e,逆転裁判 3,JPN,Base
0005000010135600,5ccd43c8a6898f595b6327ce2f6a6d55,運命の洞窟 THE CAVE,JPN,Base
00050000101ae700,18c903055fd4c9b81294bf9942acfe05,KONAMI KRAZY RACERS,EUR,Base
00050000101ac300,ea93a983182d65323be96247cb0889a0,スターフォックス64,JPN,Base
00050000101ac500,75791a04abf16407c7cf69646d28cf71,ウエーブレース64,JPN,Base
00050000101ae600,0d25822d1623562ec3d199b2039a02e6,魂斗羅ハードスピリッツ,JPN,Base
00050000101f8f00,cad0163683340c01fa73e21ebe297265,6180 the moon,JPN,Base
000500001016c000,7c1063a020cff77fd0208a64bd47308c,MEGA MAN 5,EUR,Base
00050000101b3900,3e950ef752998480bf97736941f0ac97,"Fire Emblem:
                  Shadow Dragon",EUR,Base
00050000101bb900,f36a2016e95e79260ad4892c93c6978e,F-ZERO クライマックス,JPN,Base
0005000010204400,fe066e7d3955aaa3b6968ec86a94cb6a,Plantera,EUR,Base
00050000101f7400,d57b05aff35c2126664fe6a4f1a3aff1,Hot Rod Racer,EUR,Base
00050000101f7d00,02d46da4a9bc59d8fe6b3b88eaa267ec,PSIBO,EUR,Base
00050000101f9800,447468a6a0ee05aea0d2deaf755d36bf,B3 Game Expo For Bees,EUR,Base
00050000101fda00,46ec9827aa1df75d01dcbb87620a4a60,Hurry Up! Bird Hunter,EUR,Base
00050000101fdb00,5c89fbccb697c31eb4e6944f57d377c4,Toby: The Secret Mine,EUR,Base
00050000101fde00,237c54a085802028b83783b1248293ce,STEEL LORDS,EUR,Base
00050000101ff900,9e440a16cb1ac5ff1c8eece3dbdf30c6,Test Your Mind,EUR,Base
00050000101ffa00,967d229320b063703aa9c2c93e9d71ec,Word Logic by POWGI,EUR,Base
0005000010200200,0b2c3b0516c83403f6f171793ad80609,Collateral Thinking,EUR,Base
0005000010203300,6bda304a9dc5886a3f8cf3247f6a0bd3,Pirate Pop Plus,EUR,Base
0005000010205400,7be43df9a7357184b5656e6b64bc6ed9,Double Breakout,EUR,Base
00050000101f5400,be9c2a927c3978712fbb2e9697918aed,Reptilian Rebellion,EUR,Base
0005000010208300,dc17a80d122bc7634d7411ac53dd93b4,Pinball Breakout,EUR,Base
0005000010209000,046d1a2fc7c0e551db2c7347fd38a719,The Gem Collector,EUR,Base
0005000010209d00,0125bd8b042eea63177b212b5fb32112,Sudoku Party,EUR,Base
000500001020b000,93af5e6deedfe6be67def5035ac15217,Bridge Constructor Playground,EUR,Base
000500001020b800,bad27eda219276a048764c8af10e4c7d,Scribble,EUR,Base
000500001020b900,13d9e2bbaa3e8b8d24c96f519c695e92,Breakout Defense,EUR,Base
000500001020d100,0a6807a572cf1b5035b8b9dc6671693e,Pic-a-Pix Colour,EUR,Base
000500001020d500,2bdbd5ef1ab0b5a312bb400d1a6e7d7f,Maze Break,EUR,Base
000500001020df00,f3f4b225a4a97ad7451514fb0a8894ab,Star Splash: Shattered Star,EUR,Base
0005000010210400,68e0e68df411780cd020cf3234c42789,Space Hunted,EUR,Base
00050000101f6900,eb981e05175cae2fc63f41176a474584,PING 1.5+,EUR,Base
00050000101e8300,5074bcc5f017edc10c5ad5ad95a41d1f,Discovery,EUR,Base
0005000010211800,eb921148415cc08a2044bdf0c990e0a3,Eba & Egg: A Hatch Trip,EUR,Base
000500001020c700,5e4a364a586361e0365418a885748f1f,BLOC,EUR,Base
0005000010165000,1a7579e7f658d0756a4440f341b14760,AIR ZONK,EUR,Base
0005000010165200,89e35f7a5497faf1821f8710a402a725,BONK'S REVENGE,EUR,Base
0005000010165800,f31db1b6667b683e89cc7cf4e0fb8647,Blazing Lazers,EUR,Base
0005000010165a00,1e17a2f1d78fadf050dc113a191f880b,ALIEN CRUSH,EUR,Base
0005000010168000,60da2c5ba0a6ffb8c562f4c8c1c0b21f,BOMBERMAN PANIC BOMBER,EUR,Base
000500001016b500,5940f0014826299487338a4b9d22bc76,ADVENTURES OF LOLO,EUR,Base
0005000010186700,604171b6c8cb600b343c37712918f999,AXELAY,EUR,Base
000500001018be00,2cdd677fe7c93acf54a4d1324c057346,BLASTER MASTER,EUR,Base
0005000010202c00,528c9559010caef687de2c4d2a96f3f2,Block Zombies!,EUR,Base
0005000010203900,2b679b4b08f566358fb83ce1aca10508,Alice in Wonderland,EUR,Base
0005000010215900,97818fae9dce77ddf70be5ab83a26647,BATTLE LODE RUNNER,EUR,Base
00050000101e7500,dba1491b8d3aabbbec725ee5cf7b6148,Dragon Skills,EUR,Base
0005000010215b00,1374f2460d51d1912a507f25513e2070,BOMBERMAN '93,EUR,Base
0005000010154b00,a3fdaac1ca167d658671dde90777bf0a,RUBIKS CUBE,EUR,Base
0005000010196b00,93f5895ea5700ef001f89c22b0132599,Flight of Light,EUR,Base
00050000101a9b00,e74332c718dbdec6a2e1c3131dabf35d,Rakoo & Friends,EUR,Base
00050000101b9700,7c26759b091d52ba017bf9793b9f4f3a,SDK Spriter,EUR,Base
00050000101bc400,88bb5f43e1dd53b1c8273883cd9f0982,Plenty of Fishies,EUR,Base
00050000101c8e00,4f34bfe5307aa1c8759963b04c89c126,Drop It: Block Paradise!,EUR,Base
00050000101cf900,7a57646a9918f95f6ea81b980a9fadfc,Word Puzzles by POWGI,EUR,Base
00050000101d3a00,7be0b19b930d643f3aa3e84b5ef994b8,Ninja Strike: Dangerous Dash,EUR,Base
00050000101d7400,9ae0005ff1044f2b2413f9b672526cef,Totem Topple,EUR,Base
0005000010210500,dea8c84023804d267aa892fe072bb6d7,Y.A.S.G,EUR,Base
0005000010213500,162201c8ae9b294f02cfbe04ba9f4435,Super Ultra Star Shooter,EUR,Base
0005000010114600,62695c6e40806275510bd0862f45dd71,MEGA MAN,EUR,Base
00050000101c2800,36b58cb143847c831507e8f8d26ccca5,"Double Dragon III:
                  The Sacred Stones",USA,Base
0005000010169000,0b750a6fd11bd597dc09fbd81004e38d,My Exotic Farm,EUR,Base
0005000010216f00,c7e54858d2c048a52f675df01de1033f,Unalive,EUR,Base
0005000010217200,950ef6d3f0e20998e4f6399a386aeffe,Rainbow Snake,EUR,Base
000500001018c500,6483e711ffcaa8c2b83922684e94c748,RODEA THE SKYSOLDIER,JPN,Base
00050000101b2700,0319e9816ff529191b24c23284721611,"LEGO® Batman™ 3
                  Beyond Gotham",JPN,Base
0005000010136d00,9ba3d5c87e35410a667423362f882dbb,Disney Epic Mickey 2,JPN,Base
000500001017b600,6c1a8d1a54ef1e9eea7806447bbac1ad,"ご当地鉄道
                  ～ご当地キャラと日本全国の旅～",JPN,Base
